type,title,age_certification,description,release_year,genre,seasons,titleType,runtimeMinutes,averageRating,numVotes,platform,year
MOVIE,365 Days: This Day,NC-17,,2022.0,"['romance', 'drama']",,movie,111,2.6,19492.0,Netflix,
MOVIE,The Tinder Swindler,,,2022.0,"['documentation', 'crime']",,movie,114,7.1,64444.0,Netflix,
SHOW,The Andy Warhol Diaries,TV-MA,,2022.0,['documentation'],1.0,tvMiniSeries,395,7.7,2068.0,Netflix,
SHOW,Hype House,TV-14,,2022.0,['reality'],1.0,tvSeries,36,2.2,2961.0,Netflix,
SHOW,Human Resources,TV-MA,,2022.0,"['animation', 'comedy', 'romance']",1.0,tvSeries,30,7.2,6246.0,Netflix,
MOVIE,Cobalt Blue,,,2022.0,"['romance', 'drama']",,movie,112,6.5,1784.0,Netflix,
MOVIE,Anek,,,2022.0,"['action', 'thriller', 'drama']",,movie,147,6.7,21239.0,Netflix,
SHOW,In from the Cold,TV-MA,,2022.0,"['drama', 'scifi', 'thriller', 'action', 'crime']",1.0,tvSeries,42,6.2,7605.0,Netflix,
MOVIE,Norm Macdonald: Nothing Special,R,,2022.0,"['comedy', 'documentation']",,tvSpecial,86,7.6,1752.0,Netflix,
MOVIE,Texas Chainsaw Massacre,R,,2022.0,"['horror', 'thriller', 'crime']",,movie,83,4.8,51047.0,Netflix,
SHOW,Farzar,TV-MA,,2022.0,"['scifi', 'animation', 'action', 'comedy']",1.0,tvSeries,30,5.5,1810.0,Netflix,
SHOW,Clark,TV-MA,,2022.0,"['thriller', 'action', 'comedy', 'crime', 'drama']",1.0,tvMiniSeries,362,7.4,9481.0,Netflix,
MOVIE,Senior Year,R,,2022.0,"['comedy', 'drama']",,movie,111,5.5,36705.0,Netflix,
SHOW,Meltdown: Three Mile Island,TV-14,,2022.0,"['documentation', 'history']",1.0,tvMiniSeries,172,6.8,3869.0,Netflix,
MOVIE,Windfall,R,,2022.0,"['crime', 'drama', 'thriller']",,movie,92,5.7,22744.0,Netflix,
MOVIE,Etharkkum Thunindhavan,,,2022.0,"['thriller', 'action', 'crime', 'drama']",,movie,151,6.5,12349.0,Netflix,
MOVIE,Dasvi,,,2022.0,"['comedy', 'drama']",,movie,125,7.3,22437.0,Netflix,
MOVIE,Our Father,,,2022.0,"['crime', 'documentation']",,movie,97,6.5,11518.0,Netflix,
SHOW,Indian Predator: The Butcher of Delhi,TV-MA,,2022.0,"['documentation', 'crime']",1.0,tvSeries,125,6.0,2086.0,Netflix,
MOVIE,Major,,,2022.0,"['action', 'drama']",,movie,150,8.2,25847.0,Netflix,
MOVIE,Love & Gelato,PG-13,,2022.0,"['romance', 'comedy', 'drama']",,movie,110,5.1,4919.0,Netflix,
MOVIE,My Daughter's Killer,R,,2022.0,"['documentation', 'crime']",,movie,83,6.8,1383.0,Netflix,
SHOW,Our Great National Parks,TV-PG,,2022.0,['documentation'],1.0,tvSeries,50,8.0,2017.0,Netflix,
SHOW,The Fame Game,,,2022.0,['drama'],1.0,tvSeries,45,6.7,21653.0,Netflix,
MOVIE,The Bubble,R,,2022.0,['comedy'],,movie,126,4.7,23415.0,Netflix,
MOVIE,Metal Lords,R,,2022.0,"['music', 'comedy', 'drama']",,movie,97,6.7,26451.0,Netflix,
MOVIE,Against the Ice,,,2022.0,"['drama', 'history', 'action']",,movie,102,6.5,22052.0,Netflix,
SHOW,The Cuphead Show!,TV-Y7,,2022.0,"['animation', 'comedy', 'family', 'fantasy', 'action']",2.0,tvSeries,12,7.4,7475.0,Netflix,
MOVIE,Ronny Chieng: Speakeasy,,,2022.0,"['comedy', 'documentation']",,tvSpecial,60,6.3,1255.0,Netflix,
SHOW,Bad Vegan: Fame. Fraud. Fugitives.,TV-MA,,2022.0,"['documentation', 'crime']",1.0,tvMiniSeries,209,5.9,6794.0,Netflix,
SHOW,Eternally Confused and Eager for Love,TV-MA,,2022.0,"['comedy', 'romance']",1.0,tvSeries,22,6.7,1899.0,Netflix,
SHOW,Dead End: Paranormal Park,TV-Y7,,2022.0,['animation'],1.0,tvSeries,30,6.6,1940.0,Netflix,
SHOW,Queer Eye Germany,TV-14,,2022.0,['reality'],1.0,tvSeries,45,7.3,1142.0,Netflix,
MOVIE,The Pirates: The Last Royal Treasure,,,2022.0,"['action', 'comedy', 'history']",,movie,126,6.1,3681.0,Netflix,
MOVIE,Thar,,,2022.0,"['action', 'thriller', 'drama', 'crime', 'western']",,movie,108,6.1,5205.0,Netflix,
MOVIE,Love and Leashes,R,,2022.0,"['comedy', 'romance']",,movie,117,6.3,4594.0,Netflix,
SHOW,Juvenile Justice,TV-MA,,2022.0,"['drama', 'crime']",1.0,tvSeries,60,7.9,3010.0,Netflix,
MOVIE,Marmaduke,,,2022.0,"['animation', 'comedy', 'family']",,movie,88,3.4,3581.0,Netflix,
SHOW,Life After Death with Tyler Henry,TV-MA,,2022.0,['reality'],1.0,tvSeries,45,6.0,1001.0,Netflix,
MOVIE,Badhaai Do,,,2022.0,"['comedy', 'drama', 'crime']",,movie,147,7.0,17913.0,Netflix,
MOVIE,Aziz Ansari: Nightclub Comedian,R,,2022.0,['comedy'],,tvSpecial,30,7.0,2315.0,Netflix,
MOVIE,The House,,,2022.0,"['thriller', 'animation', 'comedy', 'drama', 'horror', 'fantasy']",,movie,97,6.8,15521.0,Netflix,
MOVIE,The Royal Treatment,,,2022.0,"['romance', 'comedy', 'family']",,movie,96,5.2,9297.0,Netflix,
SHOW,The Ultimatum: Marry or Move On,TV-MA,,2022.0,['reality'],1.0,tvSeries,60,5.5,1904.0,Netflix,
MOVIE,Ali Wong: Don Wong,R,,2022.0,['comedy'],,tvSpecial,59,6.6,2526.0,Netflix,
MOVIE,Collision,,,2022.0,"['drama', 'crime', 'thriller']",,movie,99,4.1,1026.0,Netflix,
MOVIE,Silverton Siege,PG-13,,2022.0,"['action', 'crime', 'drama', 'thriller']",,movie,100,6.3,3745.0,Netflix,
MOVIE,Jaadugar,,,2022.0,"['drama', 'fantasy', 'romance', 'sport', 'comedy']",,movie,167,6.9,9562.0,Netflix,
SHOW,Our Blues,TV-MA,,2022.0,['drama'],1.0,tvSeries,60,8.6,1732.0,Netflix,
MOVIE,Cyber Hell: Exposing an Internet Horror,,,2022.0,"['documentation', 'crime']",,movie,105,6.5,1647.0,Netflix,
SHOW,Forecasting Love and Weather,TV-14,,2022.0,"['drama', 'romance']",1.0,tvSeries,60,7.1,2037.0,Netflix,
MOVIE,F3: Fun and Frustration,,,2022.0,"['comedy', 'romance', 'family']",,movie,148,4.8,1949.0,Netflix,
SHOW,Jimmy Savile: A British Horror Story,TV-MA,,2022.0,"['documentation', 'crime']",1.0,tvMiniSeries,170,6.7,7357.0,Netflix,
MOVIE,Borrego,R,,2022.0,"['crime', 'thriller']",,movie,102,5.4,4341.0,Netflix,
MOVIE,Centauro,,,2022.0,"['action', 'crime', 'thriller']",,movie,89,5.3,1179.0,Netflix,
MOVIE,The Mystery of Marilyn Monroe: The Unheard Tapes,R,,2022.0,['documentation'],,movie,101,6.2,4514.0,Netflix,
SHOW,The Principles of Pleasure,TV-MA,,2022.0,['documentation'],1.0,tvMiniSeries,152,5.9,1257.0,Netflix,
SHOW,Surviving Summer,TV-PG,,2022.0,"['drama', 'family']",1.0,tvSeries,30,6.5,1774.0,Netflix,
MOVIE,Trust No One: The Hunt for the Crypto King,R,,2022.0,"['documentation', 'crime']",,movie,90,6.3,4862.0,Netflix,
SHOW,Tomorrow,TV-14,,2022.0,"['drama', 'fantasy', 'action', 'comedy']",1.0,tvSeries,60,7.8,9225.0,Netflix,
SHOW,Maldivas,TV-MA,,2022.0,"['comedy', 'drama']",1.0,tvSeries,30,5.7,1046.0,Netflix,
SHOW,Neymar: The Perfect Chaos,TV-MA,,2022.0,"['documentation', 'sport']",1.0,tvMiniSeries,164,6.6,3361.0,Netflix,
SHOW,Remarriage & Desires,TV-14,,2022.0,['drama'],1.0,tvSeries,70,7.4,1080.0,Netflix,
MOVIE,Bhool Bhulaiyaa 2,,,2022.0,"['horror', 'comedy']",,movie,143,5.7,30056.0,Netflix,
MOVIE,Jana Gana Mana,,,2022.0,"['drama', 'thriller', 'crime']",,movie,162,8.3,11886.0,Netflix,
MOVIE,Brazen,,,2022.0,"['thriller', 'romance', 'crime', 'drama']",,movie,94,4.1,12150.0,Netflix,
SHOW,Hard Cell,TV-MA,,2022.0,"['comedy', 'documentation', 'sport']",1.0,tvSeries,25,6.3,1695.0,Netflix,
MOVIE,Gangubai Kathiawadi,,,2022.0,"['crime', 'drama']",,movie,152,7.0,54438.0,Netflix,
MOVIE,Fistful of Vengeance,R,,2022.0,"['fantasy', 'action', 'crime', 'drama']",,movie,96,4.4,6583.0,Netflix,
MOVIE,Yaksha: Ruthless Operations,,,2022.0,"['action', 'crime', 'thriller']",,movie,125,6.2,3480.0,Netflix,
SHOW,Thirty-Nine,TV-MA,,2022.0,"['drama', 'romance']",1.0,tvSeries,60,7.7,1817.0,Netflix,
SHOW,Twenty Five Twenty One,TV-14,,2022.0,"['drama', 'romance']",1.0,tvSeries,70,8.6,6937.0,Netflix,
SHOW,Is It Cake?,TV-PG,,2022.0,['reality'],1.0,tvSeries,40,5.8,2624.0,Netflix,
SHOW,Conversations with a Killer: The John Wayne Gacy Tapes,TV-MA,,2022.0,"['documentation', 'crime']",1.0,tvMiniSeries,183,7.1,7799.0,Netflix,
MOVIE,Beast,,,2022.0,"['thriller', 'action', 'comedy', 'crime']",,movie,155,5.2,32155.0,Netflix,
MOVIE,Beast,,,2022.0,"['thriller', 'action', 'comedy', 'crime']",,movie,93,5.6,16903.0,Netflix,
SHOW,Vampire in the Garden,TV-14,,2022.0,"['drama', 'scifi', 'action', 'animation', 'fantasy', 'thriller']",1.0,tvSeries,25,6.7,1133.0,Netflix,
MOVIE,Tall Girl 2,,,2022.0,"['comedy', 'romance', 'drama', 'family']",,movie,97,4.7,4667.0,Netflix,
SHOW,Dirty Lines,TV-MA,,2022.0,"['drama', 'history']",1.0,tvSeries,45,7.4,2073.0,Netflix,
MOVIE,Gladbeck: The Hostage Crisis,,,2022.0,"['documentation', 'crime']",,movie,91,7.5,2204.0,Netflix,
SHOW,Worst Roommate Ever,TV-MA,,2022.0,"['crime', 'documentation', 'drama', 'thriller']",1.0,tvMiniSeries,236,7.1,7893.0,Netflix,
SHOW,D.B. Cooper: Where Are You?!,TV-MA,,2022.0,"['crime', 'documentation']",1.0,tvMiniSeries,169,5.4,2465.0,Netflix,
MOVIE,Night Drive,,,2022.0,"['thriller', 'drama']",,movie,118,6.7,1698.0,Netflix,
SHOW,"Boo, Bitch",TV-14,,2022.0,"['scifi', 'comedy']",1.0,tvMiniSeries,202,5.8,3500.0,Netflix,
SHOW,Inventing Anna,TV-MA,,2022.0,['drama'],1.0,tvMiniSeries,65,6.8,65559.0,Netflix,
MOVIE,The Gray Man,PG-13,,2022.0,"['thriller', 'action']",,movie,122,6.5,175787.0,Netflix,
SHOW,Snowflake Mountain,TV-MA,,2022.0,['reality'],1.0,tvSeries,40,5.4,1373.0,Netflix,
MOVIE,Bill Burr: Live at Red Rocks,,,2022.0,"['comedy', 'documentation']",,tvSpecial,82,7.7,4934.0,Netflix,
MOVIE,Umma,PG-13,,2022.0,"['horror', 'drama']",,movie,83,4.7,6319.0,Netflix,
SHOW,Anatomy of a Scandal,TV-MA,,2022.0,"['drama', 'thriller']",1.0,tvMiniSeries,268,7.0,27871.0,Netflix,
SHOW,Finding Ola,TV-14,,2022.0,"['comedy', 'drama']",1.0,tvSeries,52,7.5,1683.0,Netflix,
MOVIE,The Adam Project,PG-13,,2022.0,"['drama', 'action', 'comedy', 'scifi']",,movie,106,6.7,194074.0,Netflix,
SHOW,Heartstopper,TV-14,,2022.0,"['romance', 'drama']",3.0,tvSeries,30,8.7,49799.0,Netflix,
SHOW,Resident Evil,TV-MA,,2022.0,"['scifi', 'thriller', 'action', 'horror']",1.0,tvSeries,60,4.0,39294.0,Netflix,
MOVIE,Toolsidas Junior,,,2022.0,"['drama', 'family', 'sport']",,movie,132,7.4,2176.0,Netflix,
MOVIE,Don,TV-14,"A ruthless crime boss and drug lord is nabbed and held captive by the authorities, who send his naïve look-alike to infiltrate the man's gang.",2022.0,"['romance', 'comedy', 'drama', 'action']",,movie,165,6.9,8788.0,Netflix,
SHOW,Chosen,TV-14,"When a mysterious box arrives at his door, a doctor and father is forced to participate in a twisted killing game, or risk losing everything.",2022.0,"['scifi', 'drama', 'thriller']",1.0,tvSeries,41,4.5,1330.0,Netflix,
SHOW,Rebelde,TV-14,"Six students at an exclusive prep school, some on scholarship, discover that music can close the class divide.",2022.0,"['drama', 'romance', 'family', 'comedy', 'music']",2.0,tvSeries,48,6.4,6122.0,Netflix,
MOVIE,Hustle,R,,2022.0,"['drama', 'sport', 'comedy']",,movie,117,7.3,111611.0,Netflix,
MOVIE,Spiderhead,R,,2022.0,"['scifi', 'thriller', 'drama', 'action', 'crime']",,movie,106,5.4,52656.0,Netflix,
MOVIE,The Man from Toronto,PG-13,,2022.0,"['action', 'thriller', 'drama', 'romance', 'comedy']",,movie,110,5.8,44460.0,Netflix,
SHOW,The Lincoln Lawyer,TV-MA,,2022.0,"['crime', 'drama', 'thriller']",1.0,tvSeries,60,7.7,35703.0,Netflix,
SHOW,Man vs. Bee,TV-PG,,2022.0,"['comedy', 'family']",1.0,tvSeries,\N,6.7,26807.0,Netflix,
MOVIE,The Sea Beast,PG,,2022.0,"['comedy', 'family', 'fantasy', 'scifi', 'animation']",,movie,115,7.1,37063.0,Netflix,
MOVIE,Girl in the Picture,R,,2022.0,"['documentation', 'crime']",,movie,101,7.2,16265.0,Netflix,
MOVIE,Forgive Us Our Trespasses,PG-13,,2022.0,"['war', 'drama']",,short,13,6.4,1571.0,Netflix,
SHOW,How to Change Your Mind,TV-MA,,2022.0,['documentation'],1.0,tvMiniSeries,212,7.9,1812.0,Netflix,
SHOW,God's Favorite Idiot,TV-MA,,2022.0,"['comedy', 'fantasy']",1.0,tvSeries,30,5.7,5424.0,Netflix,
SHOW,Keep Sweet: Pray and Obey,TV-MA,,2022.0,"['crime', 'documentation']",1.0,tvMiniSeries,192,7.3,11492.0,Netflix,
SHOW,Pieces of Her,TV-MA,,2022.0,"['drama', 'crime', 'thriller']",1.0,tvSeries,52,6.3,25381.0,Netflix,
MOVIE,Persuasion,PG,,2022.0,"['romance', 'drama', 'comedy']",,movie,108,5.7,26081.0,Netflix,
SHOW,The Woman in the House Across the Street from the Girl in the Window,TV-MA,,2022.0,"['thriller', 'crime', 'drama', 'comedy']",1.0,tvMiniSeries,208,6.4,44428.0,Netflix,
SHOW,King of Stonks,TV-MA,,2022.0,"['comedy', 'drama', 'thriller']",1.0,tvMiniSeries,280,6.6,1096.0,Netflix,
SHOW,Vikings: Valhalla,TV-MA,,2022.0,"['war', 'action', 'drama', 'history', 'romance']",1.0,tvSeries,51,7.2,37816.0,Netflix,
MOVIE,Kapil Sharma: I'm Not Done Yet,R,,2022.0,['comedy'],,tvSpecial,54,6.7,6712.0,Netflix,
MOVIE,11M,,,2022.0,['documentation'],,movie,92,6.9,1926.0,Netflix,
MOVIE,Interceptor,PG-13,,2022.0,"['thriller', 'action', 'drama']",,movie,99,4.5,22412.0,Netflix,
SHOW,Alchemy of Souls,TV-14,,2022.0,"['drama', 'action', 'thriller', 'scifi', 'comedy', 'fantasy', 'romance']",1.0,tvSeries,80,8.7,4025.0,Netflix,
SHOW,The Pentaverate,TV-MA,,2022.0,['comedy'],1.0,tvMiniSeries,160,6.1,9564.0,Netflix,
SHOW,First Kill,TV-MA,,2022.0,"['thriller', 'drama', 'fantasy', 'horror']",1.0,tvSeries,60,6.4,25945.0,Netflix,
SHOW,Murderville,TV-MA,,2022.0,"['comedy', 'crime']",1.0,tvSeries,33,6.8,12051.0,Netflix,
SHOW,Archive 81,TV-MA,,2022.0,"['drama', 'scifi', 'horror', 'thriller']",1.0,tvSeries,60,7.3,48536.0,Netflix,
SHOW,"Web of Make Believe: Death, Lies and the Internet",TV-MA,,2022.0,"['crime', 'documentation']",1.0,tvSeries,60,6.4,1726.0,Netflix,
SHOW,Kung Fu Panda: The Dragon Knight,TV-Y7,,2022.0,"['action', 'animation', 'family', 'fantasy', 'comedy']",1.0,tvSeries,24,5.9,1375.0,Netflix,
MOVIE,Blasted,,,2022.0,"['action', 'comedy', 'scifi']",,movie,114,4.8,1975.0,Netflix,
SHOW,Behind Her Eyes,TV-MA,A single mother enters a world of twisted mind games when she begins an affair with her psychiatrist boss while secretly befriending his mysterious wife.,2021.0,"['thriller', 'drama']",1.0,tvMiniSeries,298,7.2,61101.0,Netflix,
MOVIE,Red Dot,TV-MA,"Trying to rekindle their marriage and with a child on the way, a young couple on a ski trip suddenly finds themselves stalked by remorseless killers.",2021.0,"['thriller', 'horror', 'drama']",,movie,86,5.5,13497.0,Netflix,
SHOW,The Crew,TV-14,Life in the garage swerves off track for a NASCAR crew chief and his tight-knit racing team when a new boss steps in and shakes things up.,2021.0,['comedy'],1.0,tvSeries,\N,6.5,5673.0,Netflix,
MOVIE,Biggie: I Got a Story to Tell,R,"Featuring rare footage and in-depth interviews, this documentary celebrates the life of The Notorious B.I.G. on his journey from hustler to rap king.",2021.0,"['documentation', 'music']",,movie,97,6.8,5119.0,Netflix,
SHOW,The One,TV-MA,"Love — and lies — spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service.",2021.0,"['drama', 'scifi', 'thriller', 'crime', 'action']",1.0,tvSeries,\N,6.6,12759.0,Netflix,
SHOW,The Lost Pirate Kingdom,TV-MA,The real-life pirates of the Caribbean violently plunder the world's riches and form a surprisingly egalitarian republic in this documentary series.,2021.0,"['documentation', 'drama', 'history']",1.0,tvSeries,43,6.6,2889.0,Netflix,
MOVIE,Bo Burnham: Inside,TV-MA,"A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year.",2021.0,"['comedy', 'drama', 'music', 'reality']",,tvSpecial,87,8.6,48405.0,Netflix,
SHOW,Cowboy Bebop,TV-MA,,2021.0,"['scifi', 'action', 'drama', 'fantasy', 'comedy', 'crime']",1.0,tvSeries,58,6.7,39508.0,Netflix,
SHOW,Crime Scene: The Vanishing at the Cecil Hotel,TV-MA,"The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. From the creator of ""The Ted Bundy Tapes,"" a dive into crime's darkest places.",2021.0,"['documentation', 'crime', 'thriller']",1.0,tvMiniSeries,220,5.9,17995.0,Netflix,
MOVIE,Zone 414,R,,2021.0,"['scifi', 'thriller']",,movie,98,4.9,4373.0,Netflix,
SHOW,Zero Chill,TV-G,"Talented teen figure skater Kayla is forced to leave everything behind when her family follows her twin brother, Mac, to a prestigious hockey academy.",2021.0,"['drama', 'comedy']",1.0,tvSeries,35,5.7,1462.0,Netflix,
SHOW,Amend: The Fight for America,TV-MA,"Will Smith hosts this look at the evolving, often lethal, fight for equal rights in America through the lens of the US Constitution's 14th Amendment.",2021.0,"['war', 'documentation', 'history']",1.0,tvMiniSeries,\N,7.8,1396.0,Netflix,
SHOW,Ginny & Georgia,TV-14,"Free-spirited Georgia and her two kids, Ginny and Austin, move north in search of a fresh start but find that the road to new beginnings can be bumpy.",2021.0,"['drama', 'comedy']",1.0,tvSeries,\N,7.4,48247.0,Netflix,
SHOW,Age of Samurai: Battle for Japan,TV-MA,Dynamic reenactments and expert commentaries bring to life the tumultuous history and power struggles of a warring 16th-century feudal Japan.,2021.0,"['documentation', 'action', 'drama', 'history', 'war']",1.0,tvMiniSeries,44,7.4,4215.0,Netflix,
MOVIE,The Girl on the Train,TV-MA,A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.,2021.0,"['drama', 'thriller', 'crime']",,movie,120,4.4,14599.0,Netflix,
MOVIE,Moxie,PG-13,"Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",2021.0,"['music', 'comedy', 'drama']",,movie,111,6.7,25638.0,Netflix,
SHOW,Catching Killers,TV-MA,,2021.0,"['crime', 'documentation']",2.0,tvSeries,\N,7.1,3633.0,Netflix,
SHOW,Murder Among the Mormons,TV-14,High-stakes exploits turn deadly — and shake a global church to its core — in this extraordinary true crime story.,2021.0,"['documentation', 'crime', 'history']",1.0,tvMiniSeries,160,7.0,6505.0,Netflix,
SHOW,The Billion Dollar Code,TV-MA,,2021.0,"['drama', 'crime', 'thriller']",1.0,tvMiniSeries,267,8.0,8631.0,Netflix,
MOVIE,Pelé,TV-14,"Against the backdrop of a turbulent era in Brazil, this documentary captures Pelé’s extraordinary path from breakthrough talent to national hero.",2021.0,"['documentation', 'sport']",,movie,108,7.0,4364.0,Netflix,
MOVIE,Sentinelle,TV-MA,"Transferred home after a traumatizing combat mission, a highly trained French soldier uses her lethal skills to hunt down the man who hurt her sister.",2021.0,"['thriller', 'action', 'drama', 'crime']",,movie,80,4.7,7932.0,Netflix,
SHOW,Last Chance U: Basketball,TV-MA,“Last Chance U” hits the hardwood in East Los Angeles as a coach with strong convictions leads young men who hope to fulfill major college potential.,2021.0,"['documentation', 'sport']",1.0,tvSeries,60,8.3,2611.0,Netflix,
MOVIE,Yes Day,PG,,2021.0,"['comedy', 'family']",,movie,86,5.7,24220.0,Netflix,
SHOW,Tribes of Europa,TV-MA,"In post-apocalyptic Europe, amid wars among microstates, three siblings fight for survival as a greater threat looms over the continent.",2021.0,"['scifi', 'drama', 'action', 'fantasy']",1.0,tvSeries,\N,6.7,12301.0,Netflix,
MOVIE,Peter Rabbit 2: The Runaway,PG,,2021.0,"['fantasy', 'action', 'family', 'comedy', 'animation', 'crime', 'drama']",,movie,93,6.2,11617.0,Netflix,
SHOW,Bombay Begums,TV-MA,"From boardrooms to society's margins, five ambitious women from various walks of life navigate dreams, desires and disappointments in modern Mumbai.",2021.0,['drama'],1.0,tvSeries,50,5.2,4918.0,Netflix,
MOVIE,Fear Street: 1666,R,,2021.0,"['thriller', 'horror']",,movie,114,6.6,52248.0,Netflix,
SHOW,Glória,TV-MA,,2021.0,"['drama', 'history', 'thriller']",1.0,tvSeries,40,7.9,4252.0,Netflix,
MOVIE,Red,TV-14,"A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky.",2021.0,"['thriller', 'crime', 'drama']",,movie,146,6.4,2348.0,Netflix,
MOVIE,Skater Girl,PG,"When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.",2021.0,"['drama', 'family', 'sport']",,movie,107,6.6,4377.0,Netflix,
SHOW,Trese,TV-MA,"In Manila, where dark supernatural forces pervade the criminal underworld, it’s up to Alexandra Trese to keep the peace — but there’s a storm brewing.",2021.0,"['horror', 'scifi', 'thriller', 'action', 'crime', 'fantasy', 'animation']",1.0,tvSeries,33,7.0,3967.0,Netflix,
MOVIE,Wish Dragon,PG,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,2021.0,"['fantasy', 'animation', 'family', 'comedy', 'romance']",,movie,98,7.2,26709.0,Netflix,
MOVIE,"Crack: Cocaine, Corruption & Conspiracy",TV-MA,"A cheap, powerful drug emerges during a recession, igniting a moral panic fueled by racism. Explore the complex history of crack in the 1980s.",2021.0,"['documentation', 'crime', 'history']",,movie,89,6.7,3434.0,Netflix,
MOVIE,SAS: Red Notice,R,,2021.0,"['thriller', 'action', 'drama']",,movie,124,5.2,18650.0,Netflix,
MOVIE,The God Committee,,,2021.0,"['drama', 'thriller']",,movie,98,5.8,4115.0,Netflix,
SHOW,Night Stalker: The Hunt for a Serial Killer,TV-MA,"Beneath the sunlit glamour of 1985 LA lurks a relentlessly evil serial killer. In this true-crime story, two detectives won't rest until they catch him.",2021.0,"['documentation', 'crime', 'thriller']",1.0,tvMiniSeries,189,7.5,25852.0,Netflix,
MOVIE,Awake,TV-MA,"After a global event wipes out humanity's ability to sleep, a troubled ex-soldier fights to save her family as society and her mind spiral into chaos.",2021.0,"['drama', 'scifi', 'thriller', 'action']",,movie,96,4.9,21912.0,Netflix,
SHOW,Lupin,TV-MA,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",2021.0,"['crime', 'drama', 'thriller', 'action', 'comedy']",3.0,tvSeries,45,7.5,105557.0,Netflix,
MOVIE,Robin Robin,G,,2021.0,"['animation', 'action', 'family', 'music', 'comedy']",,short,32,7.0,5806.0,Netflix,
MOVIE,The Minimalists: Less Is Now,TV-14,They've built a movement out of minimalism. Longtime friends Joshua Fields Millburn and Ryan Nicodemus share how our lives can be better with less.,2021.0,['documentation'],,movie,53,5.9,4243.0,Netflix,
SHOW,History of Swear Words,TV-MA,"Nicolas Cage hosts this proudly profane, funny and engagingly educational series about the history and impact of the most notorious English swear words.",2021.0,"['documentation', 'comedy']",1.0,tvSeries,124,6.4,4975.0,Netflix,
